idx	dropout	hidden_size	batch_size	lookback_hourly	lookback_daily	lr_schedule	epochs	patience
1	0.4	64	128	72	365	1:5e-4,10:1e-4,25:5e-5	100	10
2	0.4	64	128	168	365	1:5e-4,10:1e-4,25:5e-5	100	10
3	0.4	64	256	168	365	1:5e-4,10:1e-4,25:5e-5	100	10
4	0.6	64	128	168	365	1:5e-4,10:1e-4,25:5e-5	100	10
5	0.6	64	256	168	365	1:5e-4,10:1e-4,25:5e-5	100	10
6	0.4	64	256	336	365	1:5e-4,10:1e-4,25:5e-5	100	10
7	0.4	128	128	168	365	1:5e-4,10:1e-4,25:5e-5	100	10
8	0.4	128	256	168	365	1:5e-4,10:1e-4,25:5e-5	100	10
9	0.6	128	128	168	365	1:5e-4,10:1e-4,25:5e-5	100	10
10	0.4	128	128	336	365	1:5e-4,10:1e-4,25:5e-5	100	10
11	0.4	256	128	168	365	1:5e-4,10:1e-4,25:5e-5	100	10
12	0.4	256	256	168	365	1:5e-4,10:1e-4,25:5e-5	100	10
